SQL> SELECT TRUNC(completion_time,'HH24') AS time, ROUND(SUM(blocks * block_size)/1024/1024,2) AS size_mb, ROUND(SUM(blocks * block_size)/1024/1024/1024,2) AS size_gb
  2  FROM v$archived_log GROUP BY TRUNC(completion_time,'HH24') ORDER BY 1 DESC;

TIME             SIZE_MB    SIZE_GB                                             
------------- ---------- ----------                                             
2016-07-04 13     187.09        .18                                             
2016-07-04 12     155.49        .15                                             
2016-07-04 11     181.22        .18                                             
2016-07-04 10     133.93        .13                                             
2016-07-04 09       16.3        .02                                             
2016-07-04 08     202.17         .2                                             
2016-07-04 07      18.64        .02                                             
2016-07-04 06      18.59        .02                                             
2016-07-04 05    2935.82       2.87                                             
2016-07-04 04      20.59        .02                                             
2016-07-04 03      18.51        .02                                             
2016-07-04 02       21.2        .02                                             
2016-07-04 01      16.33        .02                                             
2016-07-04 00      20.24        .02                                             
2016-07-03 23      39.68        .04                                             
2016-07-03 22      20.66        .02                                             
2016-07-03 21      15.63        .02                                             
2016-07-03 20      31.64        .03                                             
2016-07-03 19     463.26        .45                                             
2016-07-03 18     719.36         .7                                             
2016-07-03 17     528.92        .52                                             
2016-07-03 16     148.11        .14                                             
2016-07-03 15      24.66        .02                                             
2016-07-03 14      17.86        .02                                             
2016-07-03 13      23.36        .02                                             
2016-07-03 12       22.6        .02                                             
2016-07-03 11      21.02        .02                                             
2016-07-03 10      20.59        .02                                             
2016-07-03 09      21.36        .02                                             
2016-07-03 08      20.69        .02                                             
2016-07-03 07    3187.66       3.11                                             
2016-07-03 06     878.84        .86                                             
2016-07-03 05      60.84        .06                                             
2016-07-03 04     432.79        .42                                             
2016-07-03 03     174.01        .17                                             
2016-07-03 02   17993.59      17.57                                             
2016-07-03 01   18682.22      18.24                                             
2016-07-03 00   33987.74      33.19                                             
2016-07-02 23   32308.45      31.55                                             
2016-07-02 22   62096.75      60.64                                             
2016-07-02 21    43803.7      42.78                                             
2016-07-02 20    37805.1      36.92                                             
2016-07-02 19   42585.95      41.59                                             
2016-07-02 18   27929.32      27.27                                             
2016-07-02 17   33140.97      32.36                                             
2016-07-02 16   39708.77      38.78                                             
2016-07-02 15   37045.65      36.18                                             
2016-07-02 14   35381.24      34.55                                             
2016-07-02 13   35644.65      34.81                                             
2016-07-02 12   39055.61      38.14                                             
2016-07-02 11   32040.26      31.29                                             
2016-07-02 10   41179.44      40.21                                             
2016-07-02 09   44122.29      43.09                                             
2016-07-02 08   35552.81      34.72                                             
2016-07-02 07   36223.14      35.37                                             
2016-07-02 06  128151.06     125.15                                             
2016-07-02 05  123518.84     120.62                                             
2016-07-02 04   54472.01       53.2                                             
2016-07-02 03   65283.85      63.75                                             
2016-07-02 02  115673.76     112.96                                             
